"Belize","88","93","83","","","","88","93","83","","","","87","92","83","","","","87","92","83","","","","87","91","83","","","","86","91","83","","","","86","90","83","","","","86","90","82","","","","85","89","82","","","","85","89","82","","","","85","88","82","","","","84","88","82","","","","84","87","82","","","","84","87","81","","","","83","86","81","","","","83","86","81","","","","83","86","80","","","","82","85","80","","",""
"Benin","16","27","8","","","","16","27","8","","","","16","26","7","","","","16","26","7","","","","15","25","7","","","","15","25","6","","","","14","24","6","","","","13","24","5","","","","13","23","5","","","","12","23","5","","","","12","22","4","","","","11","22","4","","","","11","21","4","","","","10","21","3","","","","10","20","3","","","","9","20","3","","","","9","19","2","","","","9","19","2","","",""
"Bhutan","69","73","67","","","","68","73","65","","","","67","73","64","","","","66","73","62","","","","65","73","61","","","","64","73","59","","","","63","73","57","","","","62","73","56","","","","61","73","54","","","","60","73","53","","","","58","74","51","","","","57","74","49","","","","56","74","48","","","","54","74","46","","","","53","74","45","","","","52","74","43","","","","50","74","41","","","","50","74","41","","",""
"Bolivia (Plurinational State of)","61","72","36","23","25","","59","70","35","22","24","","57","68","33","22","23","","55","66","32","21","23","","53","64","30","20","22","","51","62","29","19","21","","50","60","28","19","21","","48","59","26","18","20","","46","57","25","17","20","","44","55","24","17","19","","43","53","23","16","18","","41","52","21","15","18","","40","51","20","15","18","","39","50","19","15","17","","38","49","18","14","17","","37","48","17","14","17","","36","47","16","13","17","","35","47","15","13","16",""
"Bosnia and Herzegovina","95","99","92","22","11","","95","99","92","21","11","","95","99","92","21","10","","95","99","92","21","10","","95","99","92","20","9","","95","99","92","20","9","","95","99","92","20","9","","95","99","92","20","9","","95","99","92","20","8","","95","99","92","20","8","","95","99","92","19","8","","95","99","92","19","8","","95","99","92","19","7","","95","99","92","19","7","","95","99","92","19","7","","95","99","92","19","6","","95","99","93","19","6","","95","98","93","19","6",""
"Botswana","77","89","51","","","","76","88","50","","","","75","87","49","","","","73","86","48","","","","72","85","47","","","","70","84","45","","","","69","82","44","","","","67","81","43","","","","65","80","42","","","","63","79","41","","","","62","77","40","","","","60","76","39","","","","59","75","38","","","","57","74","37","","","","56","72","36","","","","55","71","35","","","","53","70","34","","","","52","69","33","","",""
"Brazil","88","93","60","49","52","","87","92","59","47","49","","87","91","57","45","47","","86","91","56","43","45","","85","90","54","41","43","","84","89","53","39","41","","83","89","52","37","38","","82","88","50","35","37","","81","87","49","33","35","","80","87","47","31","33","","79","86","46","30","31","","78","85","45","28","29","","78","85","43","28","29","","77","84","42","27","29","","76","83","40","27","29","","75","83","39","27","29","","74","82","37","27","29","","73","81","36","27","29",""
"Brunei Darussalam","","","","","","","","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","86","87","84","64","73","","86","87","84","62","71","","86","87","84","61","69","","86","87","84","59","67","","86","87","84","57","65","","86","87","84","55","63","","86","87","84","53","61","","86","87","84","51","59","","86","87","84","49","57","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","55","","86","87","84","48","56",""
"Burkina Faso","19","39","11","","","","19","40","11","","","","19","41","10","","","","19","42","10","","","","18","42","10","","","","18","43","9","","","","17","44","9","","","","17","44","8","","","","17","45","7","","","","16","46","7","","","","16","46","6","","","","15","47","6","","","","14","48","5","","","","14","48","5","","","","13","49","4","","","","12","50","3","","","","12","50","3","","","","11","50","3","","",""
"Burundi","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","42","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","43","46","","","","46","42","46","","","","45","41","46","","","","45","41","46","","",""
"Cabo Verde","74","80","62","","","","72","79","60","","","","70","77","58","","","","69","76","56","","","","67","75","53","","","","65","73","51","","","","63","72","48","","","","61","70","46","","","","59","69","44","","","","57","67","41","","","","55","66","39","","","","53","64","37","","","","51","63","34","","","","49","61","32","","","","46","60","29","","","","44","58","27","","","","42","57","25","","","","40","56","22","","",""
"Cambodia","59","96","48","","","","57","94","46","","","","53","91","43","","","","50","88","40","","","","47","85","37","","","","44","82","34","","","","41","78","31","","","","38","75","28","","","","35","72","25","","","","32","69","23","","","","29","66","20","","","","26","63","17","","","","23","60","15","","","","21","58","12","","","","18","55","9","","","","15","52","7","","","","13","49","4","","","","10","46","2","","",""
"Cameroon","39","56","18","","","","39","56","18","","","","39","56","18","","","","39","56","19","","","","39","56","19","","","","39","56","20","","","","39","56","21","","","","39","56","21","","","","39","56","22","","","","39","56","22","","","","39","56","23","","","","39","56","24","","","","39","56","24","","","","40","56","25","","","","40","56","25","","","","40","55","26","","","","40","56","27","","","","40","56","27","","",""
"Canada","99","99","99","82","82","82","99","99","99","82","82","82","99","99","99","82","83","82","99","100","99","82","83","82","99","100","99","83","83","82","99","100","99","83","83","82","100","100","99","83","83","82","100","100","99","82","82","82","100","100","99","81","81","81","100","100","99","81","81","80","100","100","99","80","80","80","100","100","99","79","79","79","100","100","99","79","79","79","100","100","99","78","78","78","100","100","99","77","78","77","100","100","99","77","77","77","100","100","99","77","77","77","100","100","99","77","77","77"
"Central African Republic","","","","","","","25","49","9","","","","25","49","9","","","","25","49","9","","","","25","49","9","","","","25","49","9","","","","24","47","9","","","","23","45","9","","","","22","43","9","","","","21","41","9","","","","21","39","9","","","","20","38","9","","","","19","36","9","","","","18","34","9","","","","17","32","9","","","","17","30","8","","","","16","28","8","","","","15","26","8","","",""
"Chad","8","30","2","","","","9","30","2","","","","9","31","3","","","","9","31","3","","","","9","31","3","","","","10","31","4","","","","10","31","4","","","","10","31","5","","","","11","31","5","","","","11","31","5","","","","11","30","6","","","","11","30","6","","","","11","29","6","","","","11","28","7","","","","11","28","7","","","","11","27","7","","","","11","26","7","","","","12","26","8","","",""
"Chile","100","100","100","77","81","","100","100","100","76","81","","100","100","99","74","81","","99","100","96","72","78","","99","99","94","69","75","","98","99","92","67","72","","98","99","90","65","70","","97","99","88","63","67","","97","98","86","61","64","","96","98","84","59","61","","96","98","82","57","58","","95","98","80","55","55","","95","97","78","53","53","","94","97","76","51","50","","94","97","74","49","47","","93","97","72","49","47","","93","96","70","49","47","","92","96","68","48","47",""
"China","85","91","76","72","84","56","83","90","74","68","80","53","82","89","72","65","76","50","80","88","70","61","73","47","78","88","68","57","69","44","77","87","66","54","65","42","75","86","64","51","62","39","74","85","62","48","58","37","72","85","60","45","55","35","70","84","58","42","51","33","68","83","56","39","48","32","67","82","54","36","44","30","65","81","52","34","41","29","63","81","50","32","38","27","61","80","48","29","34","26","59","79","46","28","31","26","57","78","44","27","30","25","56","77","44","27","29","25"
"Colombia","90","93","76","17","16","","89","92","75","17","16","","88","91","73","17","16","","87","90","71","16","15","","85","90","70","16","15","","84","89","68","16","15","","83","88","66","16","15","","82","87","65","16","15","","81","86","63","15","15","","80","86","62","15","15","","79","85","60","15","14","","78","84","59","15","14","","77","83","57","15","14","","76","82","55","14","14","","75","82","54","14","14","","74","81","52","14","14","","73","80","51","14","14","","72","79","49","13","14",""
"Comoros","36","45","32","","","","36","45","32","","","","36","45","32","","","","35","44","31","","","","35","45","31","","","","35","45","31","","","","35","45","30","","","","34","45","30","","","","34","46","30","","","","34","46","29","","","","33","46","29","","","","33","46","28","","","","33","46","28","","","","32","46","27","","","","32","46","26","","","","31","45","26","","","","30","45","25","","","","29","44","23","","",""
"Congo","20","27","6","","","","20","26","6","","","","19","26","6","","","","18","25","6","","","","18","24","6","","","","17","23","6","","","","17","23","6","","","","16","22","6","","","","16","21","6","","","","15","21","6","","","","15","20","6","","","","14","19","6","","","","14","18","6","","","","13","18","6","","","","13","17","6","","","","12","17","6","","","","12","16","6","","","","12","16","6","","",""
