"Benin","66","76","58","","","","66","76","58","","","","66","76","58","","","","66","76","58","","","","66","76","57","","","","65","76","57","","","","65","76","56","","","","65","76","56","","","","64","76","56","","","","64","76","55","","","","64","76","55","","","","63","76","55","","","","63","76","54","","","","63","76","54","","","","62","76","53","","","","62","77","53","","","","62","77","52","","","","61","77","52","","",""
"Bhutan","97","98","97","36","49","28","97","98","97","36","49","28","97","98","96","36","49","27","96","98","95","35","49","27","95","98","94","35","49","27","94","98","93","34","49","26","94","97","91","34","49","26","93","97","90","34","49","26","92","97","89","33","49","25","91","97","88","33","49","25","90","97","87","32","49","24","89","97","86","32","49","24","88","96","84","31","49","24","87","96","83","31","49","23","86","96","82","30","49","23","85","96","81","30","49","22","84","96","80","29","49","22","83","96","78","29","49","22"
"Bolivia (Plurinational State of)","93","99","78","","","","92","99","77","","","","91","99","75","","","","91","99","74","","","","90","98","73","","","","89","98","71","","","","89","98","70","","","","88","98","69","","","","87","97","67","","","","86","97","66","","","","86","97","64","","","","85","97","63","","","","84","96","61","","","","83","96","60","","","","82","96","59","","","","81","96","57","","","","80","95","56","","","","79","95","54","","",""
"Bosnia and Herzegovina","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","96","95","97","89","","","97","96","97","89","","","97","96","97","89","","","97","96","97","88","","","97","96","97","88","","","97","97","97","88","","","97","97","97","88","","","97","97","97","88","","","97","98","97","88","","","97","98","97","88","","","97","98","96","88","","","97","98","96","87","","","97","99","96","87","",""
"Botswana","90","97","76","","83","","89","97","74","","83","","88","97","72","","83","","87","96","70","","83","","86","96","68","","84","","85","96","66","","84","","84","95","65","","84","","83","95","63","","84","","82","95","61","","84","","80","95","59","","84","","79","94","58","","84","","77","94","56","","84","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","76","94","54","","84","","75","94","54","","84",""
"Brazil","98","100","90","","92","","98","99","88","","92","","98","99","87","","92","","97","99","86","","92","","97","99","85","","92","","97","99","84","","92","","97","99","84","","92","","96","99","83","","92","","96","99","82","","92","","96","99","81","","92","","96","99","80","","92","","95","99","79","","92","","95","99","78","","92","","95","98","78","","91","","95","98","77","","91","","94","98","76","","91","","94","98","75","","91","","94","98","74","","91",""
"Brunei Darussalam","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","",""
"Bulgaria","99","99","98","97","","","99","99","98","97","","","99","100","98","97","","","99","100","98","97","","","99","100","98","97","","","99","100","99","97","","","99","100","99","97","","","99","100","99","97","","","99","100","99","97","","","99","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","","","100","100","99","97","",""
"Burkina Faso","48","80","35","","","","48","79","36","","","","49","79","37","","","","49","79","38","","","","49","78","39","","","","50","78","40","","","","50","78","41","","","","51","77","42","","","","51","77","43","","","","52","77","44","","","","52","76","45","","","","53","76","46","","","","53","75","47","","","","54","75","48","","","","54","75","49","","","","55","74","50","","","","55","74","51","","","","55","74","51","","",""
"Burundi","61","90","57","","","","60","89","56","","","","60","89","56","","","","59","88","55","","","","58","88","55","","","","58","88","54","","","","57","87","53","","","","57","87","53","","","","56","86","52","","","","55","86","52","","","","55","85","51","","","","54","85","51","","","","54","84","50","","","","53","84","50","","","","52","83","49","","","","52","83","49","","","","51","83","48","","","","51","82","48","","",""
"Cabo Verde","87","93","76","","","","86","93","74","","","","86","93","73","","","","85","93","72","","","","85","92","72","","","","84","91","72","","","","84","91","71","","","","83","90","71","","","","82","90","71","","","","82","89","71","","","","81","88","71","","","","81","88","71","","","","80","87","71","","","","80","87","71","","","","79","86","71","","","","79","86","71","","","","79","86","70","","","","79","86","70","","",""
"Cambodia","79","97","73","26","57","17","77","96","71","25","56","16","75","95","70","25","55","16","74","93","68","24","54","16","72","92","67","23","53","15","71","91","65","23","53","15","69","90","64","22","52","15","68","88","62","22","51","14","66","87","61","21","50","14","64","86","59","21","50","14","63","85","58","20","49","13","61","83","56","20","48","13","60","82","55","19","47","13","58","81","53","19","47","12","57","79","52","18","46","12","55","78","50","18","45","11","54","77","49","17","44","11","52","76","47","17","43","11"
"Cameroon","60","77","39","","","","60","77","39","","","","60","78","39","","","","60","78","39","","","","60","79","39","","","","60","79","39","","","","60","80","39","","","","60","80","39","","","","60","81","39","","","","60","81","39","","","","60","82","39","","","","60","82","39","","","","60","82","39","","","","60","83","39","","","","60","83","38","","","","60","84","38","","","","59","84","38","","","","59","85","38","","",""
"Canada","99","100","99","99","","","99","100","99","99","","","99","100","99","99","","","99","100","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","99","99","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","","","99","99","98","98","",""
"Central African Republic","","","","","","","46","65","34","","","","46","65","34","","","","46","65","34","","","","46","65","34","","","","46","65","34","","","","47","66","35","","","","48","68","36","","","","49","69","36","","","","50","70","37","","","","51","72","38","","","","52","73","39","","","","53","75","40","","","","54","76","41","","","","55","78","42","","","","56","79","42","","","","57","80","43","","","","58","82","44","","",""
"Chad","39","70","29","","","","39","70","30","","","","39","71","30","","","","39","71","30","","","","39","72","30","","","","39","72","30","","","","40","73","30","","","","40","73","30","","","","40","73","31","","","","40","74","31","","","","40","74","31","","","","41","74","31","","","","41","75","31","","","","41","75","31","","","","41","76","31","","","","41","76","32","","","","41","76","32","","","","41","76","32","","",""
"Chile","100","100","100","99","99","","100","100","98","98","99","","100","100","98","98","99","","99","100","97","98","99","","99","100","95","98","99","","99","100","93","97","99","","99","100","92","97","99","","98","100","90","97","99","","98","100","89","96","99","","98","100","87","96","99","","98","99","86","95","99","","97","99","84","95","99","","97","99","82","94","99","","97","99","81","94","98","","97","99","79","93","98","","96","99","78","93","98","","96","99","76","92","98","","96","99","75","92","98",""
